DateTime Recorded,Name,Address,City,State,Email,Products Talked About,Notes
7/4/61,John F. Kennedy,"677 Timpany Blvd, Gardner MA 1440",DC,DC,ismail@me.com,Phone,Neutral
10/1/18,Jack Ma,"337 Russell St, Hadley MA 1035",NY,NY,jgwang@me.com,"Phone, Laptop",Neutral
12/1/17,Natalie   Portman,"295 Plymouth Street, Halifax MA 2338",LA,CA,carroll@aol.com,Video Camera,Nuetrals
9/15/17,Javier Bardem,"1775 Washington St, Hanover MA 2339",Los Angeles,California,netsfr@yahoo.ca,DSLR,"Not satisfied, hated it"
6/3/17,Nikolas Tesla,"280 Washington Street, Hudson MA 1749",New York,New York,caronni@yahoo.ca,AC cables,
2017-11-24,Albert Einstein,"20 Soojian Dr, Leicester MA 1524",Princeton,NJ,njpayne@yahoo.com,"Resistors, Circuit Board",
11/24/17,Al Einstein,"11 Jungle Road, Leominster MA 1453",Princeotn,New Jersey,,Resistors  Circuit Board,
5 October 2017,Romelo Lukaku,"301 Massachusetts Ave, Lunenburg MA 1462",   Brussels,,darin@att.net,Xbox,Excited and satisfied
10/5/17,Rumelu Lukaku,"780 Lynnway, Lynn MA 1905",Brussels ,,andrei@yahoo.com,Xbox,excited and satisfied
5/12/17,Romelo Lukaku,"70 Pleasant Valley Street, Methuen MA 1844",Manchester,,smartfart@yahoo.ca,Playstation,Nuetral on the product
3/28/18,Gareth Bale,"830 Curran Memorial Hwy, North Adams MA 1247",London,,parsimony@live.com,"Laptop
Phone",Satisfied
13-Jun-2011,Garreth Bale,"1470 S Washington St, North Attleboro MA 2760",London,,,"Laptop
Phone",satisfied
28/3/2018,Gareth Bale,"506 State Road, North Dartmouth MA 2747",London,,multiplx@outlook.com,"Laptop, Phone",satisfied
September 9 2017,Shahrukh Khan,"742 Main Street, North Oxford MA 1537",Mumbai,Maharashtra,juerd@icloud.com,"Blue-ray Player, Drone",I was not satisfied
5/15/17 23:54,Barbara Walters,"72 Main St, North Reading MA 1864",Miami,FL,gfxguy@msn.com,VR headset,Not satisfied
3/4/17,Brett Favre,"200 Otis Street, Northborough MA 1532",Green Bay,Wisconsin,payned@aol.com,"Phone, Desktop Computer",satisfied
06/19/2018 9:32PM,"Apple, Inc.","180 North King Street, Northhampton MA 1060",Cupertino,CA,empathy@optonline.net,CPU Chips,
6/19/18 21:32,Apple,"555 East Main St, Orange MA 1364",12,California,bjoern@mac.com,CPU Chip,
7/24/18,Apple Inc,"555 Hubbard Ave-Suite 12, Pittsfield MA 1201",Cupertino,California,ovprit@yahoo.com,Charging Docks,
9/23/17,Cindy Craw ford,"300 Colony Place, Plymouth MA 2360",New York,NY,tbmaddux@outlook.com,"Dongles, USB Wires",very satisfied
July 4th 1961,John F. Kennedy,"301 Falls Blvd, Quincy MA 2169",DC,DC,dhrakar@aol.com,Phone,Neutral
